timestamp,url,page_type,attempt,method,acquisition_mode,http_status,content_type,elapsed_seconds,semantic_validation,challenge_detected,content_length,raw_html_sha256,rendered_dom_sha256,result
2026-07-31T00:48:46Z,https://catalogue.usc.edu/content.php?catoid=22&navoid=9396,programs_index,1,httpx,challenge_page,202,text/html; charset=UTF-8,0.389,"{""kind"": ""programs_index"", ""challenge_detected"": true, ""challenge_evidence"": [""script marker 'awswaf'"", ""script marker 'token.awswaf'""]}",1,2011,d31dd01909c725e723028734fb066616cbda3c29245fd561a12cceccf3ad8940,,challenge_page
2026-07-31T00:48:57Z,https://catalogue.usc.edu/content.php?catoid=22&navoid=9396,programs_index,3,playwright,browser_rendered_dom,200,text/html; charset=UTF-8,9.808,"{""kind"": ""programs_index"", ""challenge_detected"": false, ""visible_text_chars"": 54364, ""catalogue_title_found"": true, ""catalogue_year_seen"": ""2026-2027"", ""program_link_count"": 1150, ""programs_context"": true, ""target_heading_text_present"": true, ""ok_reason"": ""programs context + >=5 program links""}",0,316880,6a0de501100b64034bb8422de7b2b4ab906fb6168af6b1ebeef06784265fe539,5b25f30695a1c6bef955e27873a90b682445940b7ea19d0c51aa9be31555c925,ok
2026-07-31T00:48:59Z,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31653&returnto=9396,program_31653,1,httpx,direct_html,200,text/html; charset=UTF-8,0.598,"{""kind"": ""program_page"", ""challenge_detected"": false, ""visible_text_chars"": 11329, ""catalogue_title_found"": true, ""catalogue_year_seen"": ""2026-2027"", ""program_link_count"": 2, ""course_code_count"": 34, ""requirement_signal_count"": 5, ""program_title_present"": true, ""ok_reason"": ""title + requirement content""}",0,58220,5b319fbd7fd682f21dee884d0ff72c089259064769eb0bddb9dc1aa850251df5,,ok
2026-07-31T00:49:01Z,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32801&returnto=9396,program_32801,1,httpx,direct_html,200,text/html; charset=UTF-8,0.583,"{""kind"": ""program_page"", ""challenge_detected"": false, ""visible_text_chars"": 6659, ""catalogue_title_found"": true, ""catalogue_year_seen"": ""2026-2027"", ""program_link_count"": 2, ""course_code_count"": 30, ""requirement_signal_count"": 5, ""program_title_present"": true, ""ok_reason"": ""title + requirement content""}",0,55995,e8fcbde9d03e2eef729f6961872118c6762e5e5f14268343735a604f482d8d3c,,ok
2026-07-31T00:49:03Z,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32769&returnto=9396,program_32769,1,httpx,direct_html,200,text/html; charset=UTF-8,0.646,"{""kind"": ""program_page"", ""challenge_detected"": false, ""visible_text_chars"": 7546, ""catalogue_title_found"": true, ""catalogue_year_seen"": ""2026-2027"", ""program_link_count"": 1, ""course_code_count"": 30, ""requirement_signal_count"": 5, ""program_title_present"": true, ""ok_reason"": ""title + requirement content""}",0,55185,c785b2062b68eb414e7675b5f4d0ba9d6ca5493ba240a9957494cc574b38f9e6,,ok
2026-07-31T00:49:06Z,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32035&returnto=9396,program_32035,1,httpx,direct_html,200,text/html; charset=UTF-8,0.292,"{""kind"": ""program_page"", ""challenge_detected"": false, ""visible_text_chars"": 5557, ""catalogue_title_found"": true, ""catalogue_year_seen"": ""2026-2027"", ""program_link_count"": 2, ""course_code_count"": 28, ""requirement_signal_count"": 5, ""program_title_present"": true, ""ok_reason"": ""title + requirement content""}",0,52711,5420180594730aa0726b45193c07b8da06caa67730b1a63c45af7df542a5a8f8,,ok
2026-07-31T00:49:09Z,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32471&returnto=9396,program_32471,1,httpx,direct_html,200,text/html; charset=UTF-8,1.386,"{""kind"": ""program_page"", ""challenge_detected"": false, ""visible_text_chars"": 8674, ""catalogue_title_found"": true, ""catalogue_year_seen"": ""2026-2027"", ""program_link_count"": 1, ""course_code_count"": 51, ""requirement_signal_count"": 5, ""program_title_present"": true, ""ok_reason"": ""title + requirement content""}",0,67077,f7b1e36ebbf85babfc609ae021bd08e525452806e93582a20b15c7984c5fb50a,,ok
2026-07-31T00:49:12Z,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31692&returnto=9396,program_31692,1,httpx,direct_html,200,text/html; charset=UTF-8,2.442,"{""kind"": ""program_page"", ""challenge_detected"": false, ""visible_text_chars"": 7924, ""catalogue_title_found"": true, ""catalogue_year_seen"": ""2026-2027"", ""program_link_count"": 1, ""course_code_count"": 22, ""requirement_signal_count"": 5, ""program_title_present"": true, ""ok_reason"": ""title + requirement content""}",0,59959,a526b332a7611021bf6b80942b4168f9f082ddf9f0ab4ab41ecdc49b4c873ed4,,ok
2026-07-31T00:49:12Z,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31693&returnto=9396,program_31693,1,httpx,direct_html,200,text/html; charset=UTF-8,0.413,"{""kind"": ""program_page"", ""challenge_detected"": false, ""visible_text_chars"": 6494, ""catalogue_title_found"": true, ""catalogue_year_seen"": ""2026-2027"", ""program_link_count"": 1, ""course_code_count"": 12, ""requirement_signal_count"": 5, ""program_title_present"": true, ""ok_reason"": ""title + requirement content""}",0,50005,35c1024122606bbbaf725adf57b53dfdccbcc877526e453437244e7cdbf8db07,,ok
2026-07-31T00:49:14Z,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31691&returnto=9396,program_31691,1,httpx,direct_html,200,text/html; charset=UTF-8,0.289,"{""kind"": ""program_page"", ""challenge_detected"": false, ""visible_text_chars"": 8391, ""catalogue_title_found"": true, ""catalogue_year_seen"": ""2026-2027"", ""program_link_count"": 1, ""course_code_count"": 35, ""requirement_signal_count"": 5, ""program_title_present"": true, ""ok_reason"": ""title + requirement content""}",0,68876,3408351a55bdc8c5d56d7ee6d056bdb5c74c252d54bef5ee0ca4c1e627175f38,,ok
